X,Y,RSS1,RSS2,RSS3,RSS4
28.0,30,-80.05749399317682,-35.81352476324291,-80.50637365856065,-82.79712991096468
28.200000000000003,30,-76.95823897229212,-32.36879172123946,-75.36090486401197,-84.67476975216698
28.400000000000002,30,-76.66845142623406,-28.589726376800535,-75.02520072510272,-83.36203265807512
28.6,30,-81.15822781438763,-33.410692458210086,-82.46935674062516,-82.82901378043681
28.8,30,-79.3254122604667,-34.67866845974309,-79.59121607486996,-84.97355594853241
29.0,30,-74.27393453508795,-21.42168891786322,-76.49470754003848,-76.89958765158806
29.200000000000003,30,-74.5248681550244,-22.040416614538753,-75.70090369533919,-79.12818113787127
29.400000000000002,30,-78.48019536546474,-20.729218057665463,-78.61178582909426,-84.06131739679397
29.6,30,-78.37627329195821,-16.32162529973933,-76.46371011053617,-81.93535231070419
29.8,30,-76.57743652381795,-7.254613696090747,-72.62101017306745,-82.114619238138
30,30.0,-76.82411587506618,1.0266863854663208,-72.82411587506618,-81.33954777461567
30,29.8,-77.22013204534043,-8.853735568363735,-74.17655839609094,-80.713741110411
30,29.6,-79.37378312239136,-16.23169831159452,-78.2863463038134,-82.84542532255938
30,29.400000000000002,-79.7958585110581,-18.9132907396293,-76.66426804742858,-85.24539007875781
30,29.200000000000003,-79.10495216439651,-24.444465083596064,-83.92891662408171,-86.53222960692858
30,29.000000000000004,-80.64151791973684,-26.56849929756155,-80.42074491478631,-88.04639803128644
30,28.800000000000004,-81.49887410667556,-33.58632649154866,-85.2330702922723,-85.881213980338
30,28.600000000000005,-79.88672471405842,-33.828060431643294,-81.57559578782089,-84.24638175387007
30,28.400000000000006,-78.21611170571255,-33.78063735741035,-79.85936240684389,-84.55294363868495
30,28.200000000000006,-75.61731871039235,-30.625205567619826,-75.2146528186725,-82.93118359854736
30,28.000000000000007,-82.65968868468133,-37.96683978936355,-79.2108090192975,-83.95044493708536
30,27.800000000000008,-79.6376641467552,-36.126034265141556,-77.14227256496596,-81.90517053155031
30,27.60000000000001,-79.47166693583948,-36.04278536799537,-80.92946433146797,-83.71578259226902
30,27.40000000000001,-79.69980968513353,-39.27028384469138,-82.11049598688504,-86.92039413556074
30,27.20000000000001,-78.91461127250179,-40.41290831447778,-78.2778854421011,-82.11152443441871
30,27.00000000000001,-84.43897278179189,-44.803055664795735,-80.75453281193545,-89.61207497981688
30,26.80000000000001,-77.08791116436836,-39.26346343270662,-76.35545407648678,-82.23706314223008
30,26.600000000000012,-74.75736797225294,-38.69643483679241,-75.97658981407852,-79.88243090475844
30,26.400000000000013,-80.60127901620231,-43.26120952495506,-77.7718748591372,-86.7021145211877
30,26.200000000000014,-76.94033307548965,-38.282944400557625,-74.06199701176924,-78.01680322575082
30,26.000000000000014,-76.53608386219652,-40.526992337096885,-78.60850900184353,-83.58805119739816
30,25.800000000000015,-76.94183221022604,-42.54991151987299,-76.96471067778982,-77.96915974878681
30,25.600000000000016,-82.96747730814172,-46.16441500202043,-79.94050023921807,-83.97002855909369
30,25.400000000000016,-78.59202264689364,-46.35195364706171,-76.5148801844197,-82.56966162171386
30,25.200000000000017,-75.91628945763175,-41.21549055260658,-74.78867074795112,-76.86888068204412
30,25.000000000000018,-79.84897624812595,-46.665609397517066,-78.67056943681838,-81.77638477387137
30,24.80000000000002,-81.3025668269452,-47.61646190573754,-78.07305905441599,-84.20465824351803
30,24.60000000000002,-75.15633513144456,-41.94880482147903,-74.87541252826804,-77.03297557779345
30,24.40000000000002,-79.07828351161992,-46.331964607833875,-77.74563119363177,-82.92933968781135
